date	open	high	low	close	volume
2011-01-24	5717.1	5756.0	5697.75	5743.25	
2011-01-25	5763.3	5801.55	5680.65	5687.4	
2011-01-27	5725.3	5726.1	5594.95	5604.3	
2011-01-28	5614.0	5614.4	5459.55	5512.15	
2011-01-31	5452.55	5526.85	5416.65	5505.9	
2011-02-01	5537.3	5539.15	5402.0	5417.2	
2011-02-02	5469.55	5490.6	5415.65	5432.0	
2011-02-03	5430.45	5532.65	5418.0	5526.75	
2011-02-04	5519.9	5556.3	5369.05	5395.75	
2011-02-07	5430.15	5440.35	5376.95	5396.0	
2011-02-08	5432.35	5432.35	5303.4	5312.55	
2011-02-09	5293.05	5339.45	5225.65	5253.55	
2011-02-10	5246.05	5272.6	5196.8	5225.8	
2011-02-11	5219.65	5319.45	5177.7	5310.0	
2011-02-14	5340.25	5463.8	5340.25	5456.0	
2011-02-15	5467.75	5506.5	5408.35	5481.0	
2011-02-16	5467.6	5504.8	5460.35	5481.7	
2011-02-17	5501.7	5553.0	5463.4	5546.45	
2011-02-18	5557.55	5599.25	5441.95	5458.95	
2011-02-21	5456.6	5526.25	5413.1	5518.6	
2011-02-22	5504.4	5519.45	5437.3	5469.2	
2011-02-23	5452.45	5495.2	5427.55	5437.35	
2011-02-24	5408.75	5423.4	5242.5	5262.7	
2011-02-25	5321.05	5338.2	5232.75	5303.55	
2011-02-28	5330.15	5477.0	5308.6	5333.25	
2011-03-01	5382.0	5533.05	5373.55	5522.3	
2011-03-03	5478.45	5570.75	5468.25	5536.2	
2011-03-04	5586.2	5608.2	5524.1	5538.75	
2011-03-07	5490.05	5491.25	5408.45	5463.15	
2011-03-08	5466.1	5530.55	5464.75	5520.8	
2011-03-09	5542.4	5563.3	5477.45	5531.0	
2011-03-10	5516.1	5516.3	5468.45	5494.4	
2011-03-11	5456.15	5502.7	5411.55	5445.45	
2011-03-14	5436.5	5537.3	5434.25	5531.5	
2011-03-15	5420.0	5497.85	5373.65	5449.65	
2011-03-16	5475.95	5535.1	5475.95	5511.15	
2011-03-17	5455.4	5510.05	5435.3	5446.65	
2011-03-18	5475.35	5483.05	5366.4	5373.7	
2011-03-21	5408.75	5413.3	5348.2	5364.75	
2011-03-22	5390.85	5428.15	5376.15	5413.85	
2011-03-23	5411.4	5484.95	5401.95	5480.25	
2011-03-24	5501.8	5529.0	5496.1	5522.4	
2011-03-25	5588.65	5667.1	5560.95	5654.25	
2011-03-28	5645.25	5709.1	5643.2	5687.25	
2011-03-29	5686.5	5770.35	5680.7	5736.35	
2011-03-30	5755.8	5803.15	5753.9	5787.65	
2011-03-31	5803.05	5872.0	5778.65	5833.75	
2011-04-01	5835.0	5860.2	5810.4	5826.05	
2011-04-04	5842.0	5918.7	5833.2	5908.45	
2011-04-05	5923.85	5928.65	5855.85	5910.05	
2011-04-06	5908.0	5944.45	5868.8	5891.75	
2011-04-07	5888.55	5906.1	5866.25	5885.7	
2011-04-08	5886.75	5926.95	5822.0	5842.0	
2011-04-11	5805.35	5830.3	5777.9	5785.7	
2011-04-13	5747.95	5923.6	5735.55	5911.5	
2011-04-15	5898.75	5907.35	5806.45	5824.55	
2011-04-18	5824.35	5897.9	5722.25	5729.1	
2011-04-19	5716.0	5762.95	5693.25	5740.75	
2011-04-20	5786.05	5857.35	5759.65	5851.65	
2011-04-21	5882.85	5912.9	5864.35	5884.7	
2011-04-25	5859.6	5906.6	5857.0	5874.5	
2011-04-26	5876.85	5893.2	5791.55	5868.4	
2011-04-27	5884.2	5892.35	5819.95	5833.9	
2011-04-28	5851.35	5856.4	5776.95	5785.45	
2011-04-29	5782.5	5804.3	5706.05	5749.5	
2011-05-02	5766.9	5775.25	5687.7	5701.3	
2011-05-03	5689.7	5710.8	5554.85	5565.25	
2011-05-04	5567.7	5578.8	5503.0	5537.15	
2011-05-05	5531.6	5560.3	5443.65	5459.85	
2011-05-06	5477.65	5564.4	5472.45	5551.45	
2011-05-09	5575.2	5586.05	5502.4	5551.1	
2011-05-10	5555.55	5592.9	5514.55	5541.25	
2011-05-11	5547.2	5574.7	5525.0	5565.05	
2011-05-12	5537.8	5572.5	5476.3	5486.15	
2011-05-13	5492.35	5605.0	5472.15	5544.75	
2011-05-16	5541.7	5541.8	5487.65	5499.0	
2011-05-17	5496.1	5523.85	5421.05	5438.95	
2011-05-18	5448.2	5460.5	5401.25	5420.6	
2011-05-19	5448.15	5452.6	5411.25	5428.1	
2011-05-20	5450.65	5517.55	5432.75	5486.35	
2011-05-23	5456.7	5456.7	5373.0	5386.55	
2011-05-24	5385.1	5422.6	5367.45	5394.85	
2011-05-25	5389.1	5389.1	5328.7	5348.95	
2011-05-26	5372.75	5422.2	5356.35	5412.35	
2011-05-27	5413.7	5485.8	5413.6	5476.1	
2011-05-30	5493.75	5509.3	5458.6	5473.1	
2011-05-31	5492.0	5571.6	5489.7	5560.15	
2011-06-01	5561.05	5597.35	5559.45	5592.0	
2011-06-02	5529.9	5568.2	5521.95	5550.35	
2011-06-03	5565.7	5604.95	5507.2	5516.75	
2011-06-06	5504.3	5542.65	5479.85	5532.05	
2011-06-07	5509.15	5570.1	5507.8	5556.15	
2011-06-08	5535.25	5556.6	5514.9	5526.85	
2011-06-09	5523.55	5540.1	5502.05	5521.05	
2011-06-10	5518.05	5521.45	5457.45	5485.8	
2011-06-13	5469.85	5496.7	5436.95	5482.8	
2011-06-14	5485.6	5520.15	5484.2	5500.5	
2011-06-15	5494.45	5499.35	5438.95	5447.5	
2011-06-16	5419.65	5447.5	5389.8	5396.75	
2011-06-17	5412.5	5421.15	5355.85	5366.4	
2011-06-20	5372.2	5377.4	5195.9	5257.9	
2011-06-21	5280.8	5322.45	5257.0	5275.85	
2011-06-22	5304.65	5310.5	5262.5	5278.3	
2011-06-23	5269.1	5330.6	5252.25	5320.0	
2011-06-24	5343.4	5477.85	5343.4	5471.25	
2011-06-27	5441.2	5552.65	5434.25	5526.6	
2011-06-28	5548.85	5558.3	5496.35	5545.3	
2011-06-29	5566.5	5608.65	5566.5	5600.45	
